id,card_number,expiration_date,balance,card_status,owner_id
64,4125503239985613,2032-02-15,105443.11,ACTIVE,65
65,4125505445904591,2033-03-25,23850.49,ACTIVE,66
66,4125500369038850,2028-11-10,63126.08,ACTIVE,67
67,4125503065868149,2033-04-21,148735.89,ACTIVE,68
68,4125501520992585,2027-06-07,142821.37,ACTIVE,69
69,4125500061734392,2030-05-14,38592.43,ACTIVE,70
70,4125500425001257,2029-11-24,72376.05,ACTIVE,71
71,4125508257795692,2028-08-14,146229.67,ACTIVE,72
72,4125501169106343,2030-06-01,87973.56,ACTIVE,73
73,4125502118301246,2031-03-25,127214.88,ACTIVE,74
74,4125506689122336,2029-09-14,95677.95,ACTIVE,75
75,4125507928941886,2036-01-21,56461.85,ACTIVE,76
76,4125500300156331,2032-04-13,98449.16,ACTIVE,77
77,4125503202497872,2027-02-22,84758.92,ACTIVE,78
78,4125509345014575,2033-03-10,106948.93,ACTIVE,79
79,4125503955951514,2034-11-07,60926.88,ACTIVE,80
80,4125503633783683,2028-03-22,67441.14,ACTIVE,81
81,4125507646007769,2029-11-26,95128.12,ACTIVE,82
82,4125505260412579,2032-04-05,120003.24,ACTIVE,83
83,4125507004567137,2033-03-23,115901.18,ACTIVE,84
84,4125509943267455,2032-06-29,26267.51,ACTIVE,85
85,4125504478268672,2029-11-20,24124.25,ACTIVE,86
86,4125500047068712,2029-03-09,140144.24,ACTIVE,87
87,4125509088611420,2030-08-14,9744.15,ACTIVE,88
88,4125501898444084,2029-11-08,64599.12,ACTIVE,89
89,4125502350827957,2033-03-15,124590.31,ACTIVE,90
90,4125507398434167,2028-08-05,52072.54,ACTIVE,91
91,4125508991148119,2029-02-27,41593.73,ACTIVE,92
92,4125500874656336,2027-07-03,19125.53,ACTIVE,93
93,4125502338241562,2031-12-24,76236.25,ACTIVE,94
94,4125501484641857,2033-01-31,84929.03,ACTIVE,95
95,4125506357783151,2031-09-03,14973.85,ACTIVE,96
96,4125508160352631,2029-08-31,149845.58,ACTIVE,97
97,4125508887607409,2029-11-22,4647.83,ACTIVE,98
98,4125503812914884,2030-08-11,102144.65,ACTIVE,99
99,4125503200288092,2028-05-16,51138.59,ACTIVE,100
